WL,Al,WL,Cr,WL,Cu,WL,Au
371.21722,0.49959,371.21722,0.47112,371.21722,0.42567,371.21722,0.56854
371.30045,0.49771,371.30045,0.47237,371.30045,0.42727,371.30045,0.57397
371.38372,0.49605,371.38372,0.47366,371.38372,0.42892,371.38372,0.57955
371.46703,0.49461,371.46703,0.47499,371.46703,0.43061,371.46703,0.58528
371.55037,0.49337,371.55037,0.47637,371.55037,0.43237,371.55037,0.59116
371.63375,0.49234,371.63375,0.47778,371.63375,0.43417,371.63375,0.5972
371.71717,0.49152,371.71717,0.47924,371.71717,0.43603,371.71717,0.60339
371.80063,0.49091,371.80063,0.48074,371.80063,0.43794,371.80063,0.60974
371.88412,0.49049,371.88412,0.48228,371.88412,0.43991,371.88412,0.61625
371.96765,0.49027,371.96765,0.48387,371.96765,0.44195,371.96765,0.62293
372.05122,0.49026,372.05122,0.48551,372.05122,0.44404,372.05122,0.62976
372.13483,0.49044,372.13483,0.48719,372.13483,0.44619,372.13483,0.63676
372.21848,0.49082,372.21848,0.48892,372.21848,0.4484,372.21848,0.64393
372.30216,0.4914,372.30216,0.49069,372.30216,0.45068,372.30216,0.65126
372.38588,0.49219,372.38588,0.49251,372.38588,0.45302,372.38588,0.65875
372.46964,0.49317,372.46964,0.49439,372.46964,0.45543,372.46964,0.66641
372.55343,0.49436,372.55343,0.49631,372.55343,0.45791,372.55343,0.67423
372.63726,0.49576,372.63726,0.49829,372.63726,0.46046,372.63726,0.68221
372.72113,0.49736,372.72113,0.50031,372.72113,0.46308,372.72113,0.69034
372.80504,0.49918,372.80504,0.50239,372.80504,0.46578,372.80504,0.69863
372.88899,0.50121,372.88899,0.50452,372.88899,0.46855,372.88899,0.70707
372.97297,0.50346,372.97297,0.50671,372.97297,0.4714,372.97297,0.71566
373.05699,0.50593,373.05699,0.50895,373.05699,0.47432,373.05699,0.72438
373.14105,0.50863,373.14105,0.51124,373.14105,0.47733,373.14105,0.73324
373.22515,0.51156,373.22515,0.5136,373.22515,0.48042,373.22515,0.74222
373.30929,0.51472,373.30929,0.51601,373.30929,0.4836,373.30929,0.75131
373.39346,0.51813,373.39346,0.51848,373.39346,0.48686,373.39346,0.7605
373.47767,0.52179,373.47767,0.52101,373.47767,0.49021,373.47767,0.76979
373.56192,0.5257,373.56192,0.5236,373.56192,0.49365,373.56192,0.77915
373.64621,0.52988,373.64621,0.52625,373.64621,0.49718,373.64621,0.78858
373.73053,0.53432,373.73053,0.52897,373.73053,0.50081,373.73053,0.79805
373.8149,0.53903,373.8149,0.53175,373.8149,0.50453,373.8149,0.80755
373.8993,0.54403,373.8993,0.53459,373.8993,0.50836,373.8993,0.81706
373.98374,0.54932,373.98374,0.5375,373.98374,0.51228,373.98374,0.82655
374.06822,0.5549,374.06822,0.54048,374.06822,0.51631,374.06822,0.83601
374.15273,0.56079,374.15273,0.54352,374.15273,0.52045,374.15273,0.8454
374.23729,0.56699,374.23729,0.54663,374.23729,0.52469,374.23729,0.85471
374.32188,0.57352,374.32188,0.54981,374.32188,0.52905,374.32188,0.8639
374.40651,0.58037,374.40651,0.55307,374.40651,0.53352,374.40651,0.87295
374.49118,0.58756,374.49118,0.55639,374.49118,0.5381,374.49118,0.88182
374.57589,0.59509,374.57589,0.55979,374.57589,0.54281,374.57589,0.89048
374.66063,0.60297,374.66063,0.56326,374.66063,0.54763,374.66063,0.89889
374.74542,0.61121,374.74542,0.56681,374.74542,0.55257,374.74542,0.90703
374.83024,0.61981,374.83024,0.57043,374.83024,0.55764,374.83024,0.91485
374.9151,0.62877,374.9151,0.57413,374.9151,0.56284,374.9151,0.92232
375,0.63811,375,0.5779,375,0.56817,375,0.9294
375.08494,0.64782,375.08494,0.58176,375.08494,0.57363,375.08494,0.93606
375.16991,0.6579,375.16991,0.58569,375.16991,0.57922,375.16991,0.94226
375.25493,0.66835,375.25493,0.58971,375.25493,0.58495,375.25493,0.94797
375.33998,0.67916,375.33998,0.5938,375.33998,0.59082,375.33998,0.95314
375.42507,0.69034,375.42507,0.59798,375.42507,0.59683,375.42507,0.95776
375.5102,0.70187,375.5102,0.60224,375.5102,0.60298,375.5102,0.96178
375.59537,0.71373,375.59537,0.60658,375.59537,0.60927,375.59537,0.96518
375.68058,0.7259,375.68058,0.61101,375.68058,0.61571,375.68058,0.96793
