Wavelength (nm),0 deg,14 deg,28 deg,42 deg,56 deg,70 deg,84 deg
370.63563,0.41567,0.43477,0.44996,0.47201,0.49745,0.52095,0.47985
370.7186,0.41687,0.4364,0.45204,0.47495,0.50164,0.52643,0.47966
370.80161,0.41812,0.4381,0.45419,0.478,0.50599,0.53212,0.47906
370.88466,0.41941,0.43985,0.45643,0.48117,0.51052,0.53801,0.47802
370.96774,0.42075,0.44166,0.45874,0.48447,0.51522,0.54409,0.47657
371.05086,0.42212,0.44354,0.46114,0.48789,0.52011,0.55038,0.4747
371.13402,0.42354,0.44547,0.46363,0.49145,0.52519,0.55685,0.47244
371.21722,0.42501,0.44748,0.46621,0.49513,0.53046,0.56351,0.4698
371.30045,0.42653,0.44955,0.46888,0.49896,0.53592,0.57034,0.46682
371.38372,0.42809,0.45168,0.47164,0.50292,0.54158,0.57734,0.46354
371.46703,0.4297,0.45389,0.4745,0.50703,0.54744,0.58448,0.45997
371.55037,0.43136,0.45617,0.47745,0.51129,0.5535,0.59175,0.45617
371.63375,0.43307,0.45852,0.48051,0.5157,0.55976,0.59913,0.45218
371.71717,0.43483,0.46095,0.48367,0.52027,0.56622,0.6066,0.44801
371.80063,0.43665,0.46346,0.48694,0.52499,0.57288,0.61413,0.44373
371.88412,0.43852,0.46604,0.49032,0.52988,0.57975,0.62168,0.43935
371.96765,0.44045,0.46871,0.49381,0.53493,0.58682,0.62924,0.43491
372.05122,0.44243,0.47145,0.49742,0.54016,0.59408,0.63675,0.43044
372.13483,0.44447,0.47429,0.50114,0.54555,0.60153,0.64418,0.42597
372.21848,0.44657,0.47721,0.50499,0.55112,0.60916,0.65149,0.42152
372.30216,0.44873,0.48022,0.50896,0.55687,0.61697,0.65863,0.41711
372.38588,0.45096,0.48332,0.51305,0.5628,0.62495,0.66555,0.41276
372.46964,0.45324,0.48652,0.51728,0.56892,0.63308,0.67219,0.40848
372.55343,0.45559,0.48981,0.52165,0.57522,0.64136,0.67851,0.40429
372.63726,0.45801,0.4932,0.52615,0.58171,0.64975,0.68446,0.40018
372.72113,0.4605,0.4967,0.53079,0.58838,0.65826,0.68997,0.39618
372.80504,0.46305,0.5003,0.53557,0.59524,0.66685,0.695,0.39229
372.88899,0.46568,0.504,0.5405,0.60229,0.6755,0.6995,0.3885
372.97297,0.46838,0.50782,0.54558,0.60953,0.68418,0.70342,0.38483
373.05699,0.47116,0.51174,0.55082,0.61695,0.69287,0.70672,0.38127
373.14105,0.47401,0.51578,0.5562,0.62456,0.70153,0.70936,0.37783
373.22515,0.47694,0.51994,0.56175,0.63235,0.71014,0.71131,0.37449
373.30929,0.47995,0.52422,0.56746,0.64031,0.71864,0.71254,0.37127
373.39346,0.48304,0.52862,0.57333,0.64844,0.727,0.71303,0.36816
373.47767,0.48621,0.53315,0.57937,0.65673,0.73518,0.71278,0.36516
373.56192,0.48948,0.5378,0.58558,0.66517,0.74314,0.71179,0.36226
373.64621,0.49283,0.54259,0.59196,0.67376,0.75082,0.71005,0.35946
373.73053,0.49627,0.5475,0.59851,0.68249,0.75819,0.70758,0.35676
373.8149,0.4998,0.55256,0.60523,0.69133,0.76519,0.70442,0.35415
373.8993,0.50342,0.55776,0.61213,0.70027,0.77177,0.70057,0.35164
373.98374,0.50715,0.56309,0.6192,0.7093,0.77789,0.69608,0.34922
374.06822,0.51097,0.56857,0.62644,0.7184,0.7835,0.691,0.34688
374.15273,0.51489,0.5742,0.63386,0.72754,0.78856,0.68535,0.34462
374.23729,0.51892,0.57998,0.64146,0.7367,0.79303,0.6792,0.34244
374.32188,0.52305,0.58591,0.64922,0.74587,0.79686,0.67259,0.34033
374.40651,0.52729,0.59199,0.65715,0.755,0.80003,0.66558,0.3383
374.49118,0.53164,0.59822,0.66524,0.76407,0.8025,0.65821,0.33633
374.57589,0.5361,0.60461,0.67349,0.77305,0.80426,0.65053,0.33443
374.66063,0.54068,0.61116,0.6819,0.7819,0.80528,0.64261,0.3326
374.74542,0.54537,0.61787,0.69046,0.79058,0.80556,0.63449,0.33082
374.83024,0.55019,0.62474,0.69915,0.79907,0.80508,0.6262,0.32911
374.9151,0.55512,0.63177,0.70798,0.80732,0.80386,0.61781,0.32744
375,0.56018,0.63896,0.71692,0.81529,0.8019,0.60935,0.32584
375.08494,0.56537,0.6463,0.72597,0.82294,0.79921,0.60085,0.32428
375.16991,0.57069,0.65381,0.73512,0.83023,0.79581,0.59236,0.32277
375.25493,0.57614,0.66148,0.74435,0.83712,0.79173,0.5839,0.3213
375.33998,0.58172,0.66929,0.75364,0.84356,0.78701,0.57549,0.31989
375.42507,0.58744,0.67727,0.76298,0.84952,0.78167,0.56718,0.31851
375.5102,0.59329,0.68539,0.77234,0.85497,0.77576,0.55896,0.31718
375.59537,0.59928,0.69366,0.7817,0.85986,0.76932,0.55088,0.31588
375.68058,0.60542,0.70207,0.79105,0.86416,0.76239,0.54293,0.31462
375.76583,0.6117,0.71062,0.80034,0.86784,0.75502,0.53513,0.3134
375.85111,0.61812,0.7193,0.80957,0.87087,0.74726,0.5275,0.31222
375.93644,0.62469,0.72811,0.81869,0.87324,0.73916,0.52004,0.31106
376.0218,0.63141,0.73703,0.82768,0.87492,0.73075,0.51276,0.30994
376.1072,0.63827,0.74607,0.83651,0.8759,0.72209,0.50566,0.30885
376.19264,0.64528,0.7552,0.84513,0.87618,0.71323,0.49875,0.30779
376.27812,0.65244,0.76441,0.85353,0.87574,0.70419,0.49203,0.30676
376.36364,0.65975,0.7737,0.86166,0.87459,0.69503,0.4855,0.30576
376.44919,0.6672,0.78305,0.86949,0.87275,0.68578,0.47915,0.30478
376.53479,0.67481,0.79243,0.87698,0.87021,0.67648,0.473,0.30383
376.62042,0.68255,0.80185,0.88409,0.86699,0.66717,0.46703,0.3029
376.7061,0.69045,0.81126,0.89079,0.86313,0.65786,0.46124,0.302
376.79181,0.69848,0.82067,0.89705,0.85863,0.64859,0.45563,0.30112
376.87756,0.70665,0.83003,0.90283,0.85354,0.63938,0.45021,0.30027
376.96335,0.71496,0.83932,0.9081,0.84789,0.63026,0.44495,0.29943
377.04918,0.7234,0.84853,0.91282,0.8417,0.62124,0.43987,0.29862
377.13505,0.73196,0.85762,0.91698,0.83502,0.61234,0.43495,0.29782
377.22096,0.74064,0.86657,0.92054,0.82789,0.60358,0.43019,0.29705
377.3069,0.74944,0.87534,0.92348,0.82034,0.59497,0.42559,0.2963
377.39289,0.75834,0.8839,0.92579,0.81242,0.58652,0.42113,0.29556
377.47891,0.76734,0.89223,0.92744,0.80417,0.57823,0.41683,0.29484
377.56498,0.77642,0.90028,0.92844,0.79563,0.57011,0.41267,0.29414
377.65108,0.78559,0.90804,0.92876,0.78683,0.56217,0.40865,0.29346
377.73723,0.79481,0.91546,0.92842,0.77783,0.55441,0.40476,0.29279
377.82341,0.80409,0.92251,0.9274,0.76865,0.54681,0.401,0.29214
377.90963,0.81341,0.92916,0.92572,0.75933,0.53936,0.39736,0.29151
377.99589,0.82274,0.93537,0.92339,0.74992,0.53202,0.39385,0.29089
378.08219,0.83208,0.94113,0.92042,0.74043,0.52469,0.39045,0.29029
378.16853,0.84141,0.9464,0.91683,0.7309,0.51714,0.38716,0.2897
378.25491,0.85071,0.95114,0.91264,0.72137,0.50914,0.38398,0.28912
378.34133,0.85996,0.95535,0.90787,0.71184,0.50172,0.38091,0.28856
378.42779,0.86912,0.95898,0.90256,0.70236,0.49623,0.37794,0.28802
378.51429,0.87819,0.96203,0.89673,0.69294,0.49124,0.37506,0.28748
378.60082,0.88714,0.96448,0.89042,0.68361,0.48606,0.37228,0.28696
378.6874,0.89594,0.9663,0.88365,0.67437,0.48078,0.36959,0.28646
378.77402,0.90456,0.9675,0.87647,0.66525,0.47552,0.36698,0.28596
378.86067,0.91298,0.96807,0.86892,0.65626,0.47035,0.36446,0.28548
378.94737,0.92117,0.96799,0.86102,0.64741,0.4653,0.36202,0.28501
379.0341,0.9291,0.96727,0.85282,0.63871,0.46038,0.35966,0.28455
379.12088,0.93673,0.96593,0.84435,0.63017,0.4556,0.35738,0.28411
379.20769,0.94405,0.96395,0.83565,0.62181,0.45096,0.35516,0.28367
379.29455,0.95101,0.96136,0.82675,0.61362,0.44645,0.35302,0.28325
379.38144,0.95759,0.95816,0.81769,0.60561,0.44209,0.35095,0.28284
379.46838,0.96375,0.95439,0.80851,0.59779,0.43787,0.34894,0.28244
379.55535,0.96948,0.95005,0.79923,0.59015,0.43378,0.347,0.28205
379.64237,0.97473,0.94518,0.78988,0.5827,0.42982,0.34512,0.28167
379.72942,0.97949,0.93979,0.78049,0.57545,0.42599,0.34329,0.28131
379.81651,0.98373,0.93393,0.7711,0.56839,0.42228,0.34153,0.28095
379.90365,0.98741,0.92761,0.76171,0.56152,0.4187,0.33982,0.2806
379.99082,0.99053,0.92087,0.75237,0.55484,0.41523,0.33816,0.28027
380.07804,0.99305,0.91375,0.74308,0.54835,0.41188,0.33656,0.27994
380.16529,0.99497,0.90627,0.73388,0.54206,0.40864,0.335,0.27962
380.25258,0.99627,0.89848,0.72477,0.53594,0.40551,0.3335,0.27932
380.33992,0.99693,0.89041,0.71577,0.53002,0.40249,0.33204,0.27902
380.42729,0.99695,0.88208,0.7069,0.52427,0.39956,0.33063,0.27874
380.51471,0.99632,0.87355,0.69817,0.51871,0.39674,0.32926,0.27846
380.60216,0.99504,0.86483,0.68959,0.51332,0.39402,0.32794,0.2782
380.68966,0.99311,0.85597,0.68118,0.50811,0.39139,0.32666,0.27794
380.77719,0.99053,0.84699,0.67293,0.50307,0.38885,0.32542,0.27769
380.86477,0.98732,0.83792,0.66486,0.4982,0.3864,0.32422,0.27746
380.95238,0.98348,0.8288,0.65698,0.49349,0.38404,0.32306,0.27723
381.04004,0.97903,0.81965,0.64929,0.48895,0.38177,0.32194,0.27701
381.12773,0.97398,0.81051,0.6418,0.48456,0.37957,0.32086,0.27681
381.21547,0.96836,0.80138,0.6345,0.48033,0.37746,0.31981,0.27661
381.30325,0.96219,0.7923,0.62741,0.47625,0.37543,0.3188,0.27642
381.39106,0.95549,0.78329,0.62052,0.47232,0.37347,0.31782,0.27624
381.47892,0.94829,0.77437,0.61384,0.46854,0.37159,0.31688,0.27607
381.56682,0.94062,0.76555,0.60736,0.4649,0.36978,0.31597,0.27592
381.65476,0.93252,0.75686,0.60109,0.4614,0.36804,0.31509,0.27577
381.74274,0.924,0.74831,0.59504,0.45804,0.36637,0.31424,0.27563
381.83076,0.91511,0.73991,0.58919,0.45482,0.36477,0.31343,0.2755
381.91882,0.90587,0.73168,0.58354,0.45173,0.36324,0.31264,0.27538
382.00692,0.89632,0.72363,0.57811,0.44877,0.36178,0.31189,0.27527
382.09506,0.8865,0.71577,0.57288,0.44594,0.36038,0.31117,0.27517
382.18324,0.87644,0.7081,0.56786,0.44323,0.35905,0.31047,0.27508
