WL,Inf. Array,3x3,12x12,6x6,27x27
445.52058,0.3379,0.33607,0.31375,0.3142,0.31378
445.64047,0.33973,0.3379,0.31387,0.31436,0.31371
445.76043,0.34155,0.33973,0.31409,0.31462,0.31375
445.88045,0.34336,0.34155,0.3144,0.31498,0.31387
446.00054,0.34516,0.34336,0.31482,0.31543,0.31409
446.12069,0.34695,0.34516,0.31533,0.31599,0.3144
446.24091,0.34871,0.34695,0.31594,0.31664,0.31482
446.36119,0.35047,0.34871,0.31666,0.3174,0.31533
446.48153,0.3522,0.35047,0.31748,0.31826,0.31594
446.60194,0.35391,0.3522,0.31841,0.31923,0.31666
446.72242,0.3556,0.35391,0.31944,0.32031,0.31748
446.84296,0.35728,0.3556,0.32059,0.3215,0.31841
446.96356,0.35893,0.35728,0.32185,0.3228,0.31944
447.08423,0.36056,0.35893,0.32323,0.32422,0.32059
447.20497,0.36217,0.36056,0.32473,0.32577,0.32185
447.32577,0.36375,0.36217,0.32635,0.32743,0.32323
447.44664,0.36532,0.36375,0.32809,0.32922,0.32473
447.56757,0.36686,0.36532,0.32997,0.33115,0.32635
447.68856,0.36838,0.36686,0.33198,0.33321,0.32809
447.80963,0.36988,0.36838,0.33413,0.3354,0.32997
447.93075,0.37136,0.36988,0.33641,0.33774,0.33198
448.05195,0.37281,0.37136,0.33885,0.34023,0.33413
448.17321,0.37425,0.37281,0.34143,0.34287,0.33641
448.29453,0.37567,0.37425,0.34417,0.34567,0.33885
448.41592,0.37706,0.37567,0.34707,0.34863,0.34143
448.53738,0.37844,0.37706,0.35014,0.35176,0.34417
448.6589,0.3798,0.37844,0.35337,0.35506,0.34707
448.78049,0.38114,0.3798,0.35679,0.35855,0.35014
448.90214,0.38246,0.38114,0.36039,0.36222,0.35337
449.02386,0.38376,0.38246,0.36418,0.36608,0.35679
449.14565,0.38505,0.38376,0.36817,0.37015,0.36039
449.2675,0.38632,0.38505,0.37236,0.37442,0.36418
449.38942,0.38758,0.38632,0.37676,0.37891,0.36817
449.5114,0.38882,0.38758,0.38139,0.38362,0.37236
449.63345,0.39004,0.38882,0.38624,0.38857,0.37676
449.75557,0.39126,0.39004,0.39132,0.39375,0.38139
449.87775,0.39245,0.39126,0.39666,0.39919,0.38624
450,0.39364,0.39245,0.40224,0.40488,0.39132
450.12232,0.39481,0.39364,0.40809,0.41084,0.39666
450.2447,0.39597,0.39481,0.41421,0.41707,0.40224
450.36715,0.39712,0.39597,0.4206,0.42359,0.40809
450.48966,0.39826,0.39712,0.42729,0.43041,0.41421
450.61224,0.39938,0.39826,0.43428,0.43753,0.4206
450.73489,0.4005,0.39938,0.44158,0.44496,0.42729
450.85761,0.40161,0.4005,0.44919,0.45271,0.43428
450.98039,0.40271,0.40161,0.45713,0.4608,0.44158
451.10324,0.40379,0.40271,0.46541,0.46922,0.44919
451.22616,0.40487,0.40379,0.47402,0.47799,0.45713
451.34914,0.40595,0.40487,0.48299,0.48711,0.46541
451.47219,0.40701,0.40595,0.49231,0.49658,0.47402
451.59531,0.40807,0.40701,0.50199,0.50642,0.48299
451.71849,0.40912,0.40807,0.51203,0.51662,0.49231
451.84175,0.41016,0.40912,0.52244,0.52718,0.50199
451.96507,0.4112,0.41016,0.53321,0.5381,0.51203
452.08845,0.41223,0.4112,0.54433,0.54937,0.52244
452.21191,0.41325,0.41223,0.5558,0.56098,0.53321
452.33543,0.41427,0.41325,0.56762,0.57293,0.54433
452.45902,0.41529,0.41427,0.57975,0.58518,0.5558
452.58267,0.4163,0.41529,0.59219,0.59773,0.56762
452.7064,0.4173,0.4163,0.60491,0.61054,0.57975
452.83019,0.4183,0.4173,0.61787,0.62357,0.59219
452.95405,0.4193,0.4183,0.63104,0.63679,0.60491
453.07798,0.42029,0.4193,0.64436,0.65014,0.61787
453.20197,0.42128,0.42029,0.65779,0.66357,0.63104
453.32603,0.42227,0.42128,0.67126,0.67702,0.64436
453.45016,0.42325,0.42227,0.6847,0.69039,0.65779
453.57436,0.42423,0.42325,0.69802,0.70363,0.67126
453.69863,0.4252,0.42423,0.71115,0.71662,0.6847
453.82297,0.42618,0.4252,0.72397,0.72928,0.69802
453.94737,0.42715,0.42618,0.73639,0.7415,0.71115
454.07184,0.42812,0.42715,0.7483,0.75316,0.72397
454.19638,0.42909,0.42812,0.75956,0.76415,0.73639
454.32099,0.43005,0.42909,0.77007,0.77435,0.7483
454.44566,0.43102,0.43005,0.7797,0.78365,0.75956
454.57041,0.43198,0.43102,0.78834,0.79193,0.77007
454.69522,0.43294,0.43198,0.79587,0.79908,0.7797
454.8201,0.4339,0.43294,0.80218,0.805,0.78834
454.94505,0.43485,0.4339,0.80718,0.8096,0.79587
455.07007,0.43581,0.43485,0.81078,0.8128,0.80218
455.19516,0.43676,0.43581,0.81294,0.81457,0.80718
455.32032,0.43772,0.43676,0.81361,0.81485,0.81078
455.44554,0.43867,0.43772,0.81277,0.81364,0.81294
455.57084,0.43962,0.43867,0.81042,0.81094,0.81361
455.6962,0.44058,0.43962,0.80659,0.80678,0.81277
455.82164,0.44153,0.44058,0.80134,0.80122,0.81042
455.94714,0.44248,0.44153,0.79473,0.79433,0.80659
456.07271,0.44343,0.44248,0.78685,0.78619,0.80134
456.19835,0.44438,0.44343,0.77782,0.77692,0.79473
456.32406,0.44533,0.44438,0.76775,0.76663,0.78685
456.44983,0.44627,0.44533,0.75677,0.75545,0.77782
456.57568,0.44722,0.44627,0.74502,0.7435,0.76775
456.7016,0.44817,0.44722,0.73264,0.73094,0.75677
456.82759,0.44912,0.44817,0.71975,0.71787,0.74502
456.95364,0.45007,0.44912,0.7065,0.70445,0.73264
457.07977,0.45102,0.45007,0.69301,0.69079,0.71975
457.20596,0.45197,0.45102,0.67941,0.67701,0.7065
457.33223,0.45291,0.45197,0.66579,0.66323,0.69301
457.45856,0.45386,0.45291,0.65227,0.64953,0.67941
457.58497,0.45481,0.45386,0.63893,0.63602,0.66579
457.71144,0.45576,0.45481,0.62584,0.62277,0.65227
457.83799,0.45671,0.45576,0.61308,0.60986,0.63893
457.9646,0.45766,0.45671,0.6007,0.59734,0.62584
458.09129,0.45861,0.45766,0.58875,0.58527,0.61308
458.21804,0.45956,0.45861,0.57727,0.57368,0.6007
458.34487,0.46051,0.45956,0.56628,0.56262,0.58875
458.47176,0.46146,0.46051,0.55582,0.55212,0.57727
