Wavelength (nm),0 Deg,14 Deg,28 Deg,42 Deg,56 Deg,70 Deg,84 Deg
371.30045,0.42653,0.51044,0.37831,0.41396,0.45267,0.68669,0.72219
371.38372,0.42809,0.51608,0.37905,0.41524,0.45467,0.70491,0.73133
371.46703,0.4297,0.52197,0.37983,0.41655,0.45672,0.72358,0.74083
371.55037,0.43136,0.52812,0.38063,0.41791,0.45883,0.74223,0.75067
371.63375,0.43307,0.53453,0.38147,0.4193,0.46099,0.76013,0.76081
371.71717,0.43483,0.54121,0.38233,0.42073,0.46322,0.77625,0.77124
371.80063,0.43665,0.54814,0.38323,0.4222,0.4655,0.78927,0.78193
371.88412,0.43852,0.55533,0.38416,0.42372,0.46784,0.79761,0.79284
371.96765,0.44045,0.56277,0.38512,0.42527,0.47025,0.79964,0.80395
372.05122,0.44243,0.57044,0.38612,0.42687,0.47272,0.79401,0.81522
372.13483,0.44447,0.57832,0.38715,0.42851,0.47525,0.78004,0.8266
372.21848,0.44657,0.58638,0.38821,0.4302,0.47785,0.75805,0.83805
372.30216,0.44873,0.59459,0.38931,0.43194,0.48052,0.72948,0.84953
372.38588,0.45096,0.60289,0.39044,0.43372,0.48326,0.69661,0.86098
372.46964,0.45324,0.61122,0.39161,0.43554,0.48606,0.66209,0.87236
372.55343,0.45559,0.61952,0.39281,0.43742,0.48894,0.62833,0.88361
372.63726,0.45801,0.62769,0.39405,0.43935,0.49189,0.59718,0.89467
372.72113,0.4605,0.63563,0.39533,0.44132,0.49491,0.56977,0.90547
372.80504,0.46305,0.64323,0.39665,0.44335,0.49801,0.54658,0.91597
372.88899,0.46568,0.65035,0.398,0.44543,0.50119,0.52763,0.9261
372.97297,0.46838,0.65687,0.3994,0.44757,0.50445,0.51264,0.93579
373.05699,0.47116,0.66264,0.40083,0.44976,0.50779,0.50119,0.94499
373.14105,0.47401,0.6675,0.40231,0.45201,0.51121,0.49281,0.95363
373.22515,0.47694,0.67131,0.40382,0.45431,0.51471,0.48702,0.96165
373.30929,0.47995,0.67395,0.40539,0.45668,0.5183,0.48343,0.96899
373.39346,0.48304,0.6753,0.40699,0.45911,0.52198,0.48166,0.9756
373.47767,0.48621,0.67528,0.40864,0.46159,0.52575,0.48142,0.98142
373.56192,0.48948,0.67382,0.41033,0.46415,0.52961,0.48244,0.9864
373.64621,0.49283,0.67094,0.41208,0.46677,0.53357,0.48454,0.9905
373.73053,0.49627,0.66664,0.41386,0.46945,0.53762,0.48753,0.99367
373.8149,0.4998,0.66102,0.4157,0.47221,0.54177,0.49129,0.99586
373.8993,0.50342,0.65418,0.41759,0.47503,0.54602,0.49571,0.99706
373.98374,0.50715,0.64627,0.41953,0.47793,0.55037,0.5007,0.99721
374.06822,0.51097,0.63746,0.42152,0.4809,0.55483,0.5062,0.99631
374.15273,0.51489,0.62795,0.42356,0.48395,0.55939,0.51214,0.99432
374.23729,0.51892,0.61792,0.42566,0.48708,0.56406,0.51849,0.99125
374.32188,0.52305,0.60757,0.42782,0.49029,0.56884,0.52521,0.9871
374.40651,0.52729,0.59708,0.43003,0.49358,0.57374,0.53228,0.98187
374.49118,0.53164,0.58662,0.4323,0.49696,0.57875,0.53968,0.97559
374.57589,0.5361,0.57633,0.43463,0.50043,0.58388,0.54738,0.96829
374.66063,0.54068,0.56634,0.43702,0.50399,0.58914,0.55539,0.96004
374.74542,0.54537,0.55674,0.43948,0.50764,0.59451,0.56369,0.95088
374.83024,0.55019,0.54762,0.442,0.51138,0.60001,0.57228,0.94091
374.9151,0.55512,0.53903,0.44459,0.51523,0.60564,0.58115,0.93021
375,0.56018,0.531,0.44725,0.51917,0.6114,0.5903,0.91887
375.08494,0.56537,0.52358,0.44998,0.52322,0.61729,0.59974,0.90701
375.16991,0.57069,0.51675,0.45278,0.52738,0.62332,0.60946,0.89472
375.25493,0.57614,0.51053,0.45565,0.53166,0.62949,0.61946,0.88211
375.33998,0.58172,0.50491,0.45861,0.53604,0.6358,0.62974,0.8693
375.42507,0.58744,0.49987,0.46164,0.54055,0.64225,0.64031,0.85637
375.5102,0.59329,0.4954,0.46476,0.54518,0.64885,0.65117,0.84342
375.59537,0.59928,0.49147,0.46795,0.54994,0.65559,0.66231,0.83055
375.68058,0.60542,0.48805,0.47124,0.55482,0.66248,0.67373,0.81782
375.76583,0.6117,0.48513,0.47462,0.55985,0.66953,0.68544,0.8053
375.85111,0.61812,0.48268,0.47808,0.56501,0.67673,0.69742,0.79305
375.93644,0.62469,0.48068,0.48165,0.57032,0.68409,0.70968,0.78112
376.0218,0.63141,0.47909,0.48531,0.57578,0.6916,0.7222,0.76956
376.1072,0.63827,0.4779,0.48908,0.5814,0.69927,0.73496,0.75839
376.19264,0.64528,0.47709,0.49295,0.58718,0.7071,0.74797,0.74764
376.27812,0.65244,0.47663,0.49693,0.59313,0.7151,0.76118,0.73734
376.36364,0.65975,0.47652,0.50103,0.59925,0.72325,0.77458,0.72749
376.44919,0.6672,0.47671,0.50524,0.60555,0.73156,0.78815,0.71811
376.53479,0.67481,0.47722,0.50958,0.61203,0.74003,0.80184,0.7092
376.62042,0.68255,0.478,0.51404,0.61871,0.74866,0.81561,0.70076
376.7061,0.69045,0.47907,0.51864,0.62559,0.75744,0.82941,0.6928
376.79181,0.69848,0.48039,0.52338,0.63267,0.76637,0.84319,0.68532
376.87756,0.70665,0.48196,0.52826,0.63997,0.77545,0.85688,0.6783
376.96335,0.71496,0.48378,0.53328,0.64749,0.78467,0.87042,0.67175
377.04918,0.7234,0.48582,0.53847,0.65524,0.79402,0.88372,0.66565
377.13505,0.73196,0.48808,0.54382,0.66322,0.80349,0.8967,0.66
377.22096,0.74064,0.49056,0.54933,0.67145,0.81307,0.90927,0.65479
377.3069,0.74944,0.49325,0.55503,0.67992,0.82274,0.92134,0.65001
377.39289,0.75834,0.49614,0.56091,0.68864,0.83249,0.93279,0.64566
377.47891,0.76734,0.49922,0.56698,0.69763,0.84229,0.94354,0.64172
377.56498,0.77642,0.5025,0.57325,0.70687,0.85211,0.95348,0.63819
377.65108,0.78559,0.50597,0.57974,0.71637,0.86194,0.96252,0.63506
377.73723,0.79481,0.50962,0.58644,0.72614,0.87172,0.97057,0.63231
377.82341,0.80409,0.51345,0.59337,0.73615,0.88142,0.97755,0.62995
377.90963,0.81341,0.51747,0.60054,0.74642,0.891,0.9834,0.62796
377.99589,0.82274,0.52166,0.60795,0.75692,0.90039,0.98806,0.62634
378.08219,0.83208,0.52603,0.61562,0.76763,0.90955,0.99153,0.62507
378.16853,0.84141,0.53059,0.62355,0.77853,0.91841,0.99378,0.62416
378.25491,0.85071,0.53532,0.63174,0.78958,0.9269,0.99484,0.62359
378.34133,0.85996,0.54024,0.64019,0.80074,0.93496,0.99476,0.62336
378.42779,0.86912,0.54534,0.64892,0.81196,0.94252,0.99358,0.62346
378.51429,0.87819,0.55062,0.6579,0.82316,0.94951,0.9914,0.62389
378.60082,0.88714,0.5561,0.66713,0.83427,0.95588,0.98833,0.62464
378.6874,0.89594,0.56178,0.6766,0.84521,0.96158,0.98447,0.62571
378.77402,0.90456,0.56766,0.68627,0.85586,0.96659,0.97997,0.62709
378.86067,0.91298,0.57375,0.69612,0.86612,0.97089,0.97494,0.62878
378.94737,0.92117,0.58006,0.70609,0.87587,0.97451,0.96954,0.63077
379.0341,0.9291,0.5866,0.71613,0.885,0.97748,0.96391,0.63306
379.12088,0.93673,0.59338,0.72617,0.89339,0.97984,0.95816,0.63565
