Wavelength (nm),Ring,Ring,Trophozoite,Schizont
391.85991,0.6515,0.60203,0.57501,0.56638
391.95266,0.66619,0.61322,0.58274,0.57111
392.04545,0.68144,0.62494,0.59091,0.57621
392.13829,0.69722,0.6372,0.59953,0.58168
392.23117,0.71349,0.65,0.60861,0.58754
392.32409,0.73022,0.66334,0.61814,0.5938
392.41706,0.74736,0.6772,0.62814,0.60046
392.51007,0.76483,0.69158,0.6386,0.60755
392.60313,0.78258,0.70644,0.64954,0.61505
392.69623,0.8005,0.72177,0.66096,0.62299
392.78937,0.8185,0.73753,0.67285,0.63138
392.88256,0.83646,0.75367,0.68521,0.64021
392.97579,0.85425,0.77013,0.69803,0.6495
393.06907,0.87172,0.78685,0.71131,0.65925
393.16239,0.88873,0.80376,0.72502,0.66947
393.25576,0.9051,0.82075,0.73913,0.68014
393.34917,0.92067,0.83773,0.75363,0.69128
393.44262,0.93527,0.85459,0.76846,0.70287
393.53612,0.94871,0.87119,0.78359,0.7149
393.62966,0.96083,0.88741,0.79895,0.72736
393.72325,0.97147,0.9031,0.81447,0.74023
393.81688,0.98049,0.9181,0.83007,0.75349
393.91056,0.98775,0.93227,0.84568,0.76709
394.00428,0.99317,0.94543,0.86118,0.78101
394.09805,0.99666,0.95745,0.87648,0.7952
394.19186,0.99817,0.96817,0.89144,0.8096
394.28571,0.9977,0.97746,0.90595,0.82414
394.37961,0.99526,0.98518,0.91986,0.83876
394.47356,0.99089,0.99124,0.93304,0.85337
394.56755,0.98467,0.99556,0.94535,0.86789
394.66158,0.97669,0.99807,0.95665,0.8822
394.75566,0.96708,0.99874,0.96679,0.8962
394.84979,0.95597,0.99756,0.97566,0.90978
394.94395,0.94352,0.99457,0.98313,0.92281
395.03817,0.92989,0.9898,0.9891,0.93517
395.13243,0.91523,0.98333,0.99348,0.94672
395.22673,0.89972,0.97524,0.99621,0.95734
395.32108,0.88351,0.96567,0.99724,0.96689
395.41547,0.86675,0.95472,0.99655,0.97527
395.50991,0.84959,0.94254,0.99415,0.98236
395.6044,0.83215,0.92927,0.99006,0.98806
395.69892,0.81457,0.91506,0.98435,0.99228
395.7935,0.79694,0.90006,0.97707,0.99497
395.88812,0.77937,0.8844,0.96832,0.99608
395.98278,0.76194,0.86823,0.95822,0.99557
396.07749,0.74472,0.85168,0.94687,0.99346
396.17225,0.72778,0.83486,0.93441,0.98974
396.26705,0.71115,0.8179,0.92097,0.98448
396.3619,0.69489,0.80088,0.90669,0.97772
396.45679,0.67903,0.7839,0.8917,0.96954
396.55172,0.66358,0.76704,0.87614,0.96004
396.64671,0.64858,0.75035,0.86014,0.94932
396.74173,0.63403,0.73392,0.8438,0.9375
396.83681,0.61994,0.71777,0.82725,0.9247
396.93193,0.60631,0.70195,0.81059,0.91105
397.02709,0.59314,0.68649,0.79391,0.89667
397.1223,0.58043,0.67142,0.77728,0.88168
397.21756,0.56817,0.65675,0.76079,0.86621
397.31286,0.55636,0.64251,0.74449,0.85038
397.40821,0.54498,0.62869,0.72845,0.83429
397.5036,0.53403,0.61531,0.71269,0.81803
397.59904,0.52349,0.60236,0.69727,0.80172
397.69452,0.51335,0.58984,0.6822,0.78542
397.79006,0.50359,0.57775,0.66752,0.7692
397.88563,0.49421,0.56608,0.65323,0.75314
397.98125,0.48518,0.55482,0.63936,0.73729
398.07692,0.47651,0.54397,0.6259,0.7217
398.17264,0.46816,0.53352,0.61288,0.7064
398.2684,0.46014,0.52344,0.60027,0.69143
398.3642,0.45242,0.51374,0.58809,0.67681
398.46006,0.445,0.5044,0.57632,0.66257
398.55596,0.43786,0.4954,0.56497,0.64871
398.6519,0.43099,0.48674,0.55402,0.63526
398.74789,0.42437,0.47841,0.54346,0.62221
398.84393,0.41801,0.47038,0.53329,0.60957
398.94001,0.41188,0.46265,0.52349,0.59735
399.03614,0.40598,0.45521,0.51406,0.58552
399.13232,0.4003,0.44805,0.50498,0.5741
399.22854,0.39483,0.44115,0.49623,0.56308
399.32481,0.38955,0.43451,0.48781,0.55245
399.42113,0.38446,0.42811,0.47971,0.54219
399.51749,0.37956,0.42194,0.47191,0.53231
399.6139,0.37483,0.41599,0.46441,0.52278
399.71035,0.37026,0.41026,0.45718,0.51361
399.80686,0.36586,0.40474,0.45023,0.50477
399.9034,0.36161,0.39941,0.44353,0.49626
400,0.3575,0.39427,0.43708,0.48806
400.09664,0.35354,0.38932,0.43087,0.48017
400.19333,0.3497,0.38453,0.42488,0.47258
400.29007,0.346,0.37991,0.41912,0.46526
400.38685,0.34242,0.37545,0.41356,0.45822
400.48368,0.33896,0.37114,0.4082,0.45143
400.58055,0.33561,0.36698,0.40304,0.4449
400.67747,0.33237,0.36296,0.39806,0.4386
400.77444,0.32923,0.35907,0.39326,0.43254
400.87146,0.32619,0.35531,0.38862,0.4267
400.96852,0.32325,0.35167,0.38415,0.42107
401.06563,0.3204,0.34816,0.37983,0.41564
401.16279,0.31764,0.34475,0.37566,0.4104
401.26,0.31497,0.34146,0.37163,0.40536
401.35725,0.31237,0.33827,0.36774,0.40049
401.45455,0.30986,0.33518,0.36398,0.39579
401.55189,0.30742,0.33219,0.36034,0.39126
401.64928,0.30505,0.32929,0.35683,0.38688
401.74672,0.30276,0.32648,0.35343,0.38265
401.84421,0.30053,0.32375,0.35014,0.37857
401.94175,0.29837,0.32111,0.34696,0.37463
402.03933,0.29627,0.31855,0.34387,0.37082
402.13696,0.29423,0.31607,0.34089,0.36714
402.23464,0.29224,0.31366,0.338,0.36358
402.33236,0.29032,0.31132,0.3352,0.36014
402.43013,0.28845,0.30905,0.33249,0.35681
402.52795,0.28663,0.30684,0.32986,0.35358
402.62582,0.28486,0.3047,0.32731,0.35047
402.72374,0.28314,0.30262,0.32484,0.34745
402.8217,0.28147,0.3006,0.32244,0.34452
402.91971,0.27985,0.29864,0.32012,0.34169
403.01777,0.27826,0.29674,0.31786,0.33895
403.11587,0.27673,0.29488,0.31567,0.33629
403.21402,0.27523,0.29308,0.31355,0.33371
403.31223,0.27377,0.29133,0.31148,0.33122
403.41048,0.27235,0.28963,0.30948,0.32879
403.50877,0.27097,0.28797,0.30753,0.32644
403.60712,0.26963,0.28636,0.30563,0.32416
403.70551,0.26832,0.28479,0.3038,0.32195
403.80395,0.26705,0.28327,0.30201,0.31981
403.90244,0.26581,0.28178,0.30027,0.31772
404.00098,0.2646,0.28034,0.29858,0.3157
404.09956,0.26342,0.27893,0.29694,0.31373
404.19819,0.26228,0.27756,0.29534,0.31182
404.29688,0.26116,0.27623,0.29378,0.30997
404.3956,0.26007,0.27494,0.29227,0.30816
404.49438,0.25901,0.27367,0.2908,0.30641
404.59321,0.25798,0.27245,0.28937,0.30471
404.69208,0.25698,0.27125,0.28797,0.30305
404.791,0.256,0.27008,0.28661,0.30144
404.88998,0.25504,0.26895,0.28529,0.29987
404.98899,0.25411,0.26784,0.28401,0.29835
405.08806,0.25321,0.26677,0.28275,0.29687
405.18718,0.25233,0.26572,0.28153,0.29543
