Wavelength (nm),0.5 nm,1 nm,2 nm,3 nm,4 nm,5 nm ,10 nm
369.56037,0.39792,0.39908,0.41164,0.43447,0.48178,0.59587,0.77893
369.64286,0.39846,0.3992,0.41138,0.43384,0.48056,0.59366,0.77801
369.72539,0.39903,0.39934,0.41114,0.43323,0.47937,0.59147,0.77711
369.80795,0.39964,0.39952,0.41093,0.43264,0.47819,0.5893,0.77625
369.89055,0.40027,0.39971,0.41074,0.43208,0.47704,0.58716,0.77542
369.97319,0.40094,0.39994,0.41057,0.43154,0.47592,0.58504,0.77464
370.05587,0.40164,0.40019,0.41043,0.43102,0.47481,0.58294,0.77389
370.13858,0.40237,0.40047,0.41032,0.43053,0.47373,0.58087,0.77318
370.22133,0.40314,0.40078,0.41023,0.43006,0.47267,0.57882,0.77251
370.30411,0.40394,0.40111,0.41016,0.42961,0.47163,0.57679,0.77188
370.38694,0.40477,0.40148,0.41012,0.42919,0.47062,0.57479,0.77129
370.4698,0.40564,0.40187,0.41011,0.42879,0.46962,0.57281,0.77075
370.5527,0.40655,0.40229,0.41012,0.42841,0.46866,0.57086,0.77025
370.63563,0.4075,0.40275,0.41016,0.42806,0.46771,0.56893,0.7698
370.7186,0.40848,0.40323,0.41022,0.42773,0.46678,0.56702,0.7694
370.80161,0.4095,0.40374,0.41031,0.42743,0.46588,0.56514,0.76904
370.88466,0.41056,0.40428,0.41043,0.42715,0.465,0.56328,0.76873
370.96774,0.41166,0.40486,0.41057,0.42689,0.46415,0.56145,0.76847
371.05086,0.41281,0.40547,0.41074,0.42666,0.46332,0.55964,0.76827
371.13402,0.41399,0.40611,0.41094,0.42645,0.46251,0.55785,0.76811
371.21722,0.41521,0.40678,0.41117,0.42627,0.46172,0.55609,0.76801
371.30045,0.41648,0.40749,0.41142,0.42612,0.46096,0.55436,0.76795
371.38372,0.41779,0.40823,0.41171,0.42599,0.46022,0.55265,0.76796
371.46703,0.41915,0.409,0.41202,0.42589,0.4595,0.55096,0.76801
371.55037,0.42055,0.40981,0.41236,0.42581,0.45881,0.5493,0.76812
371.63375,0.422,0.41066,0.41274,0.42576,0.45814,0.54766,0.76829
371.71717,0.42349,0.41155,0.41314,0.42573,0.45749,0.54605,0.76851
371.80063,0.42504,0.41247,0.41358,0.42573,0.45687,0.54446,0.76879
371.88412,0.42663,0.41343,0.41404,0.42576,0.45627,0.5429,0.76913
371.96765,0.42828,0.41443,0.41454,0.42582,0.4557,0.54136,0.76952
372.05122,0.42997,0.41546,0.41507,0.4259,0.45515,0.53984,0.76997
372.13483,0.43172,0.41654,0.41563,0.42601,0.45462,0.53836,0.77048
372.21848,0.43353,0.41766,0.41623,0.42615,0.45412,0.53689,0.77105
372.30216,0.43539,0.41882,0.41686,0.42632,0.45364,0.53545,0.77168
372.38588,0.4373,0.42003,0.41752,0.42652,0.45319,0.53404,0.77236
372.46964,0.43928,0.42127,0.41822,0.42675,0.45276,0.53265,0.7731
372.55343,0.44131,0.42257,0.41896,0.427,0.45236,0.53129,0.7739
372.63726,0.4434,0.42391,0.41973,0.42729,0.45199,0.52995,0.77476
372.72113,0.44556,0.42529,0.42053,0.42761,0.45164,0.52864,0.77567
372.80504,0.44777,0.42672,0.42138,0.42796,0.45131,0.52735,0.77664
372.88899,0.45006,0.4282,0.42226,0.42834,0.45102,0.52608,0.77767
372.97297,0.45241,0.42973,0.42319,0.42875,0.45075,0.52485,0.77876
373.05699,0.45482,0.43131,0.42415,0.42919,0.4505,0.52364,0.7799
373.14105,0.45731,0.43295,0.42515,0.42967,0.45028,0.52245,0.78109
373.22515,0.45987,0.43463,0.42619,0.43018,0.45009,0.52129,0.78234
373.30929,0.4625,0.43637,0.42728,0.43073,0.44993,0.52015,0.78364
373.39346,0.4652,0.43817,0.42841,0.43131,0.44979,0.51905,0.78499
373.47767,0.46798,0.44002,0.42958,0.43192,0.44968,0.51796,0.78639
