Inputs,,,Output,,,,,
Wavelength (um),r1 (um),t1 (nm),Absorption,,,,,
376.0218,0.05,0.2,0.1471,,,,,
376.1072,0.05,0.2,0.1471,,,,,
376.19264,0.05,0.2,0.1471,,,,,
376.27812,0.05,0.2,0.1471,,,,,
376.36364,0.05,0.2,0.1471,,,,,
376.44919,0.05,0.2,0.1471,,,,,
376.53479,0.05,0.2,0.1471,,,,,
376.62042,0.05,0.2,0.14711,,,,,
376.7061,0.05,0.2,0.14711,,,,,
376.79181,0.05,0.2,0.14711,,,,,
376.87756,0.05,0.2,0.14711,,,,,
376.96335,0.05,0.2,0.14711,,,,,
377.04918,0.05,0.2,0.14712,,,,,
377.13505,0.05,0.2,0.14712,,,,,
377.22096,0.05,0.2,0.14713,,,,,
377.3069,0.05,0.2,0.14713,,,,,
377.39289,0.05,0.2,0.14714,,,,,
377.47891,0.05,0.2,0.14714,,,,,
377.56498,0.05,0.2,0.14715,,,,,
377.65108,0.05,0.2,0.14715,,,,,
377.73723,0.05,0.2,0.14716,,,,,
377.82341,0.05,0.2,0.14717,,,,,
377.90963,0.05,0.2,0.14717,,,,,
377.99589,0.05,0.2,0.14718,,,,,
378.08219,0.05,0.2,0.14719,,,,,
378.16853,0.05,0.2,0.1472,,,,,
378.25491,0.05,0.2,0.14721,,,,,
378.34133,0.05,0.2,0.14722,,,,,
378.42779,0.05,0.2,0.14723,,,,,
378.51429,0.05,0.2,0.14724,,,,,
378.60082,0.05,0.2,0.14725,,,,,
378.6874,0.05,0.2,0.14726,,,,,
378.77402,0.05,0.2,0.14727,,,,,
378.86067,0.05,0.2,0.14728,,,,,
378.94737,0.05,0.2,0.1473,,,,,
379.0341,0.05,0.2,0.14731,,,,,
379.12088,0.05,0.2,0.14732,,,,,
379.20769,0.05,0.2,0.14734,,,,,
379.29455,0.05,0.2,0.14735,,,,,
379.38144,0.05,0.2,0.14736,,,,,
379.46838,0.05,0.2,0.14738,,,,,
379.55535,0.05,0.2,0.14739,,,,,
379.64237,0.05,0.2,0.14741,,,,,
379.72942,0.05,0.2,0.14743,,,,,
379.81651,0.05,0.2,0.14744,,,,,
379.90365,0.05,0.2,0.14746,,,,,
379.99082,0.05,0.2,0.14748,,,,,
380.07804,0.05,0.2,0.14749,,,,,
380.16529,0.05,0.2,0.14751,,,,,
380.25258,0.05,0.2,0.14753,,,,,
380.33992,0.05,0.2,0.14755,,,,,
380.42729,0.05,0.2,0.14757,,,,,
380.51471,0.05,0.2,0.14759,,,,,
380.60216,0.05,0.2,0.14761,,,,,
380.68966,0.05,0.2,0.14763,,,,,
380.77719,0.05,0.2,0.14765,,,,,
380.86477,0.05,0.2,0.14767,,,,,
380.95238,0.05,0.2,0.14769,,,,,
381.04004,0.05,0.2,0.14772,,,,,
381.12773,0.05,0.2,0.14774,,,,,
381.21547,0.05,0.2,0.14776,,,,,
381.30325,0.05,0.2,0.14779,,,,,
381.39106,0.05,0.2,0.14781,,,,,
381.47892,0.05,0.2,0.14784,,,,,
381.56682,0.05,0.2,0.14786,,,,,
381.65476,0.05,0.2,0.14789,,,,,
381.74274,0.05,0.2,0.14791,,,,,
381.83076,0.05,0.2,0.14794,,,,,
381.91882,0.05,0.2,0.14797,,,,,
382.00692,0.05,0.2,0.148,,,,,
382.09506,0.05,0.2,0.14802,,,,,
382.18324,0.05,0.2,0.14805,,,,,
382.27147,0.05,0.2,0.14808,,,,,
382.35973,0.05,0.2,0.14811,,,,,
382.44804,0.05,0.2,0.14814,,,,,
382.53638,0.05,0.2,0.14817,,,,,
382.62477,0.05,0.2,0.1482,,,,,
382.7132,0.05,0.2,0.14823,,,,,
382.80166,0.05,0.2,0.14826,,,,,
382.89017,0.05,0.2,0.1483,,,,,
382.97872,0.05,0.2,0.14833,,,,,
383.06731,0.05,0.2,0.14836,,,,,
383.15595,0.05,0.2,0.1484,,,,,
383.24462,0.05,0.2,0.14843,,,,,
383.33333,0.05,0.2,0.14847,,,,,
383.42209,0.05,0.2,0.1485,,,,,
383.51088,0.05,0.2,0.14854,,,,,
383.59972,0.05,0.2,0.14857,,,,,
383.6886,0.05,0.2,0.14861,,,,,
383.77752,0.05,0.2,0.14865,,,,,
383.86648,0.05,0.2,0.14869,,,,,
383.95548,0.05,0.2,0.14873,,,,,
384.04453,0.05,0.2,0.14876,,,,,
384.13361,0.05,0.2,0.1488,,,,,
384.22274,0.05,0.2,0.14884,,,,,
384.31191,0.05,0.2,0.14888,,,,,
384.40111,0.05,0.2,0.14893,,,,,
384.49036,0.05,0.2,0.14897,,,,,
384.57966,0.05,0.2,0.14901,,,,,
384.66899,0.05,0.2,0.14905,,,,,
384.75836,0.05,0.2,0.1491,,,,,
384.84778,0.05,0.2,0.14914,,,,,
384.93724,0.05,0.2,0.14919,,,,,
385.02674,0.05,0.2,0.14923,,,,,
385.11628,0.05,0.2,0.14928,,,,,
385.20586,0.05,0.2,0.14932,,,,,
385.29549,0.05,0.2,0.14937,,,,,
385.38515,0.05,0.2,0.14942,,,,,
385.47486,0.05,0.2,0.14947,,,,,
385.56461,0.05,0.2,0.14951,,,,,
385.6544,0.05,0.2,0.14956,,,,,
385.74423,0.05,0.2,0.14961,,,,,
385.83411,0.05,0.2,0.14967,,,,,
385.92403,0.05,0.2,0.14972,,,,,
386.01399,0.05,0.2,0.14977,,,,,
386.10399,0.05,0.2,0.14982,,,,,
386.19403,0.05,0.2,0.14987,,,,,
386.28411,0.05,0.2,0.14993,,,,,
386.37424,0.05,0.2,0.14998,,,,,
386.46441,0.05,0.2,0.15004,,,,,
386.55462,0.05,0.2,0.15009,,,,,
386.64488,0.05,0.2,0.15015,,,,,
386.73517,0.05,0.2,0.15021,,,,,
386.82551,0.05,0.2,0.15027,,,,,
386.91589,0.05,0.2,0.15032,,,,,
387.00631,0.05,0.2,0.15038,,,,,
387.09677,0.05,0.2,0.15044,,,,,
387.18728,0.05,0.2,0.15051,,,,,
387.27783,0.05,0.2,0.15057,,,,,
387.36842,0.05,0.2,0.15063,,,,,
387.45905,0.05,0.2,0.15069,,,,,
387.54973,0.05,0.2,0.15076,,,,,
387.64045,0.05,0.2,0.15082,,,,,
387.73121,0.05,0.2,0.15089,,,,,
387.82201,0.05,0.2,0.15095,,,,,
387.91286,0.05,0.2,0.15102,,,,,
388.00375,0.05,0.2,0.15109,,,,,
388.09468,0.05,0.2,0.15116,,,,,
388.18565,0.05,0.2,0.15122,,,,,
388.27667,0.05,0.2,0.1513,,,,,
388.36773,0.05,0.2,0.15137,,,,,
388.45883,0.05,0.2,0.15144,,,,,
388.54998,0.05,0.2,0.15151,,,,,
388.64116,0.05,0.2,0.15158,,,,,
388.73239,0.05,0.2,0.15166,,,,,
388.82367,0.05,0.2,0.15173,,,,,
388.91498,0.05,0.2,0.15181,,,,,
389.00634,0.05,0.2,0.15189,,,,,
389.09774,0.05,0.2,0.15197,,,,,
389.18919,0.05,0.2,0.15205,,,,,
389.28068,0.05,0.2,0.15213,,,,,
389.37221,0.05,0.2,0.15221,,,,,
389.46378,0.05,0.2,0.15229,,,,,
389.5554,0.05,0.2,0.15237,,,,,
